"id","created_at","updated_at","airport_id","name","address_id","phone_number","notes","email","is_archived","address_text","preferred","frequency"
7107,"2021-11-05 17:39:10.127928+00","2021-11-05 17:39:10.127928+00",7630,"ASMCORP",NULL,"+52 81 8122 5100",NULL,"ops@asmcorp.com.mx",False,"Toluca International Airport Toluca",NULL,NULL
7264,"2022-02-01 01:22:18.384714+00","2022-02-01 01:22:18.384714+00",7250,"St. Thomas Jet Center",NULL,"340-777-9177",NULL,"stt@signatureflight.com",False,"8102 Lindbergh Bay Drive North Ramp, Cyril E. King Airport St. Thomas, VI 00802",NULL,NULL
1416,"2021-02-14 07:30:09.316676+00","2021-10-21 00:37:19.042076+00",3340,"KISSIMMEE JET CENTER","0c11d2c0-3207-11ec-93fb-16a398308e81","+1 407 847 9095",NULL,"info@kissimmeejetcenter.com",False,"3031 Patrick St Kissimmee, FL 34741",False,"122.875"
6364,"2021-08-30 15:21:39.427355+00","2021-08-30 15:21:39.427355+00",24311,"LINN STATE FBO","f9092c98-09a5-11ec-aed7-16a398308e81","+1 573 897 5000",NULL,"john.nilges@linnstate.edu",False,"One Technology Dr",NULL,NULL
7119,"2021-11-12 16:08:02.666404+00","2021-11-12 16:08:02.666404+00",2513,"Sky Night Hangar",NULL,"423-278-9901",NULL,"jpressley@flyexclusiveinternational.com",False,NULL,NULL,NULL
68,"2021-01-28 14:10:50.908897+00","2021-11-06 22:30:53.37796+00",6622,"MILLION AIR ROME","33ace53e-3f51-11ec-99db-16a398308e81","+1 315 736 9404",NULL,"info.rme@millionair.com",False,"660 Hangar Road, Suite 148 Rome, NY 13441",NULL,"122.95"
3768,"2021-08-27 18:36:47.079441+00","2021-08-27 18:36:47.079441+00",3381,"AIR INDIA SATS AIRPORT SVCS PVT LTD","bc190c96-0765-11ec-b133-16a398308e81","+91 824 225 4254",NULL,"marketing@aisats.in",False,"Mangalore Airport, NITB, Kenjar",NULL,NULL
7269,"2022-02-07 17:43:01.422396+00","2022-02-07 17:43:01.422396+00",2509,"CAYMAN AIRWAYS",NULL,"+1 345 949 8200",NULL,NULL,False,"Owen Roberts Int'l Airport George Town, Grand Cayman BWI",NULL,NULL
7144,"2021-11-18 16:22:21.088093+00","2021-11-18 16:22:21.088093+00",3030,"NetJets HPN Facility #6",NULL,"1-866-735-3387",NULL,NULL,False,NULL,NULL,NULL
7132,"2021-11-14 01:57:16.562847+00","2021-11-14 01:57:16.562847+00",5274,"Jet Aviation Nassau",NULL,"242-377-3355",NULL,NULL,False,"Coral Harbour Road, Nassau",NULL,NULL
